index,model_answer,gold_answer,is_correct
0,1,\frac{13}{32},False
1,64,\frac{2025}{4},False
2,99,36,False
3,16,64,False
4,58707,194832,False
5,1/9,\frac{5}{16},False
6,0,930,False
7,9,322,False
8,1,2851,False
9,2,\frac{1}{2026},False
10,1/10,\frac{1}{6},False
11,11/1024,\frac{683}{1024},False
12,2/187,\frac{2}{17},False
13,2081,1088,False
14,3/5,\frac{138}{55},False
15,1,256,False
16,1,\frac{1507^{2}}{360^{2}},False
17,1,2240,False
18,1/5,\frac{9349}{327680},False
19,2468252337262468834422575868544497921751100636329025898072324717635863878465409905200435013916824304969801556449635463702021192183141969393688016079317748880970755821291693739232966016119501014074552821581237989494251410646024775314522650596357345682602181882817728597524376893731462097137247889646625082559193080178508096763158166391196212004359954730651551824133864299036912186688789133226328502877850781081839527716089947026868122102325554079942923715812908392105555229818830116353758927443813227202301377815326986416866845242381786199590851702016812187332670390394864869920286623530724274909765221186070373429375992070670198726607152075888668843538770077132693372988434675861645427444795624530397878969873845021202034070069380033247533480169812112185134767664217837596017648339414631665265592914997645581986884619180554406058647803185670544314598941341916914963641790380347885014969211641240530216675796373014488145896555247608004461338645123977387136326955882405,4102652,False
20,49*sqrt(3),14\sqrt{3},False
21,1,\sqrt{3}-1,False
22,sqrt(3),\frac{11\sqrt{3}}{4},False
23,3*sqrt(3)/4,\frac{2\sqrt{39}}{13},False
24,1,\frac{12\sqrt{3}+4}{13},False
25,3,\frac{31}{7},False
26,3,\frac{7\sqrt{3}}{3},False
27,10,\frac{97-3\sqrt{1001}}{2},False
28,65/9,\frac{11}{3},False
29,6.4,9.94,False
30,11,13,False
31,5/4,\frac{11}{4},False
32,11,512,False
33,40,44,False
34,1,2496,False
35,16/9,3+\sqrt{2}+\sqrt{3}+\sqrt{6},False
36,1,648,False
37,0,10+\frac{40\pi}{3},False
38,16,8222,False
