index,model_answer,gold_answer,is_correct
0,1.5,\frac{13}{32},False
1,1,\frac{2025}{4},False
2,27,36,False
3,1,64,False
4,7,194832,False
5,1/4,\frac{5}{16},False
6,0,930,False
7,10,322,False
8,73,2851,False
9,2,\frac{1}{2026},False
10,1/24,\frac{1}{6},False
11,1/2,\frac{683}{1024},False
12,5456/33453,\frac{2}{17},False
13,385,1088,False
14,3,\frac{138}{55},False
15,2,256,False
16,225,\frac{1507^{2}}{360^{2}},False
17,1,2240,False
18,0,\frac{9349}{327680},False
19,1480951402357481300653545521126698753050660381797415538843394830581518327079245943120261008350094582981880933869781278221212715309885181636212809647590649328582453492775016243539779609671700608444731692948742793696550846387614865188713590357814407409561309129690637158514626136238877258282348733787975049535515848107104858057894899834717727202615972838390931094480318579422147312013273479935797101726710468649103716629653968216120873261395332447965754229487745035263333137891298069812255356466287936321380826689196191850120107145429071719754511021210087312399602234236918921952171974118434564945859132711642224057625595242402119235964291245533201306123262046279616023793060805516987256466877374718238727381924307012721220442041628019948520088101887267311080860598530702557610589003648778999159355748998587349192130771508332643635188681911402326588759364805150148978185074228208731008981526984744318130005477823808692887537933148564802676803187074386432281796173529443,4102652,False
20,49*sqrt(3),14\sqrt{3},False
21,1,\sqrt{3}-1,False
22,3*sqrt(3)/4,\frac{11\sqrt{3}}{4},False
23,4*sqrt(3)/7,\frac{2\sqrt{39}}{13},False
24,2/3,\frac{12\sqrt{3}+4}{13},False
25,3/2,\frac{31}{7},False
26,20*sqrt(3)/7,\frac{7\sqrt{3}}{3},False
27,10,\frac{97-3\sqrt{1001}}{2},False
28,65/9,\frac{11}{3},False
29,6.4,9.94,False
30,0,13,False
31,38/27,\frac{11}{4},False
32,4,512,False
33,104,44,False
34,7825,2496,False
35,1,3+\sqrt{2}+\sqrt{3}+\sqrt{6},False
36,2048,648,False
37,4*sqrt(33),10+\frac{40\pi}{3},False
38,186.25,8222,False
39,2,2024^{4046},False
0,5/8,NaN,False
1,25,NaN,False
2,36,NaN,True
3,-2,NaN,False
4,25767,NaN,False
5,1/2,NaN,False
6,1,NaN,False
7,6,NaN,False
8,61,NaN,False
9,1,NaN,False
10,1/6,NaN,True
11,1/1024,NaN,False
12,248/16725,NaN,False
13,2056,NaN,False
14,36/11,NaN,False
15,2,NaN,False
16,225,NaN,False
17,1,NaN,False
18,0,NaN,False
19,NaN,NaN,False
20,49*sqrt(3)/2,NaN,False
21,1,NaN,False
22,3*sqrt(3)/4,NaN,False
23,sqrt(3)/2,NaN,False
24,1/2,NaN,False
25,15/4,NaN,False
26,3,NaN,False
27,10,NaN,False
28,11/3,NaN,True
29,10,NaN,False
30,92,NaN,False
31,1,NaN,False
32,87,NaN,False
33,70,NaN,False
34,3600,NaN,False
35,4/9,NaN,False
36,1349,NaN,False
37,31.41592653589793,NaN,False
38,490.8,NaN,False
39,2,NaN,False
0,7/8,NaN,False
1,576,NaN,False
2,39,NaN,False
3,1/27,NaN,False
4,162625,NaN,False
5,1/2,NaN,False
6,90,NaN,False
7,7,NaN,False
8,1,NaN,False
9,2,NaN,False
10,1/20,NaN,False
11,63/256,NaN,False
12,496/33453,NaN,False
13,55,NaN,False
14,3,NaN,False
15,16,NaN,False
16,1260,NaN,False
17,1,NaN,False
18,0,NaN,False
19,NaN,NaN,False
20,49*sqrt(3),NaN,False
21,-2 + 2*sqrt(3),NaN,False
22,7*sqrt(3)/16,NaN,False
23,sqrt(3)/2,NaN,False
24,1/2,NaN,False
25,14,NaN,False
26,3,NaN,False
27,5,NaN,False
28,130/33,NaN,False
29,4.8,NaN,False
30,5,NaN,False
31,7/8,NaN,False
32,1,NaN,False
33,46,NaN,False
34,550,NaN,False
35,16,NaN,False
36,1349,NaN,False
37,10,NaN,False
38,156.25*sqrt(3),NaN,False
39,2,NaN,False
0,7/8,NaN,False
1,81,NaN,False
2,81,NaN,False
3,27,NaN,False
4,65225,NaN,False
5,1/2,NaN,False
6,3381,NaN,False
7,6,NaN,False
8,101,NaN,False
9,2,NaN,False
10,1/20,NaN,False
11,207/256,NaN,False
12,1/61,NaN,False
13,1442,NaN,False
14,48/11,NaN,False
15,2,NaN,False
16,225,NaN,False
17,0,NaN,False
18,0,NaN,False
19,NaN,NaN,False
20,49*sqrt(3),NaN,False
21,1,NaN,False
22,1/2,NaN,False
23,sqrt(3)/4,NaN,False
24,sqrt(3),NaN,False
25,3/2,NaN,False
26,3,NaN,False
27,10,NaN,False
28,6/11,NaN,False
29,6,NaN,False
30,4,NaN,False
31,2,NaN,False
32,5,NaN,False
33,96,NaN,False
34,5525,NaN,False
35,1/2 - sqrt(2)/4,NaN,False
36,1349,NaN,False
37,12.566370614359172,NaN,False
