index,model_answer,gold_answer,is_correct
0,2,4049,False
1,2,1/2,False
2,8,\frac{1980}{169},False
3,41,6266942768,False
4,33,6,False
5,70,138,False
6,1,248/517,False
7,24000,1164,False
8,6,2 \sqrt{3}+\frac{8 \pi}{3},False
9,0,213,False
10,4,14/5,False
11,4100800,2112,False
0,2025,4049,False
1,2,1/2,False
2,12,\frac{1980}{169},False
3,41,6266942768,False
4,8198,6,False
5,10,138,False
6,30.75,248/517,False
7,729,1164,False
8,14.660765716752369,2 \sqrt{3}+\frac{8 \pi}{3},False
9,0,213,False
10,1,14/5,False
11,2025,2112,False
