index,model_answer,gold_answer,is_correct
0,2,3,False
1,5,12,False
2,9,1296,False
3,505,31,False
4,9,21,False
5,3,81920,False
6,30,1305,False
7,135,200,False
8,1,1/91,False
9,4096,372,False
10,80,79,False
11,5,5,True
12,48,36,False
13,13391,99774,False
14,23,495,False
15,50.26548245743669,5\pi + 6\sqrt{3},False
16,4900,7350,False
17,5.5,8.5,False
18,12,91/6,False
19,2,\frac{sqrt{7} + 1}{2},False
20,6,238,False
21,2038,855,False
22,sqrt(5)/2,\sqrt{3} - 1,False
23,17,3069,False
24,882,175,False
25,120,96-10\sqrt{21},False
26,6781,5940,False
27,0,254,False
28,7,199/8,False
29,1/3,\frac{3\sqrt{5}}{7},False
0,3,3,True
1,10,12,False
2,12,1296,False
3,1012,31,False
4,1,21,False
5,9,81920,False
6,40,1305,False
7,144,200,False
8,1,1/91,False
9,4096,372,False
10,23.08,79,False
11,5,5,True
12,36,36,True
13,13526,99774,False
14,403650,495,False
15,10.392304845413264,5\pi + 6\sqrt{3},False
16,2,7350,False
17,8,8.5,False
18,10,91/6,False
19,sqrt(3),\frac{sqrt{7} + 1}{2},False
20,28,238,False
21,233,855,False
22,2,\sqrt{3} - 1,False
23,70,3069,False
24,874,175,False
25,154,96-10\sqrt{21},False
26,14400,5940,False
27,2,254,False
28,60,199/8,False
29,1/3,\frac{3\sqrt{5}}{7},False
0,1 + sqrt(5),3,False
1,9,12,False
2,72,1296,False
3,1,31,False
4,9,21,False
5,105,81920,False
6,32,1305,False
7,75,200,False
8,-1,1/91,False
9,4096,372,False
10,53.85,79,False
11,5,5,True
12,48,36,False
13,25411,99774,False
14,9,495,False
15,6*sqrt(3),5\pi + 6\sqrt{3},False
16,1350,7350,False
17,2.2,8.5,False
18,14,91/6,False
19,2,\frac{sqrt{7} + 1}{2},False
20,240,238,False
21,198,855,False
22,1,\sqrt{3} - 1,False
23,91,3069,False
24,868,175,False
25,104,96-10\sqrt{21},False
26,720,5940,False
27,2,254,False
28,12,199/8,False
29,1/3,\frac{3\sqrt{5}}{7},False
0,3,3,True
1,13,12,False
2,144,1296,False
3,505,31,False
4,9,21,False
5,333*f,81920,False
6,101,1305,False
7,135,200,False
8,1,1/91,False
9,64,372,False
10,30,79,False
11,5,5,True
12,60,36,False
13,11011,99774,False
14,7,495,False
15,10.392304845413264,5\pi + 6\sqrt{3},False
16,10120,7350,False
17,5.5,8.5,False
18,6,91/6,False
19,3,\frac{sqrt{7} + 1}{2},False
20,12,238,False
21,393,855,False
22,1,\sqrt{3} - 1,False
23,2146,3069,False
24,863,175,False
25,120,96-10\sqrt{21},False
26,7140,5940,False
27,16,254,False
28,16.5,199/8,False
29,1/2,\frac{3\sqrt{5}}{7},False
